brand,primaryCategories,colors,name,prices,prices.currency,prices.offer,sizes
Pleaser,Shoes,Clear/Clear Ombre,Women's Pleaser Moon 708FLM Ankle Strap Sandal,59.95,USD,Online only,9
Ros Hommerson,Shoes,White,women's ros hommerson joyce cap toe pump,159.48,USD,Online only,10 N
Steve Madden,Shoes,Black,Steve Madden Women's Raelee Suede Black Ankle-High Pump - 5M,21.99,USD,Online only: 63% off,5M
Steve Madden,Shoes,Rose Gold,Steve Madden Women's Notice Rose Gold Ankle-High Leather Pump - 9M,18.99,USD,Online only: 75% off,10M
Steve Madden,Shoes,Rose Gold,Steve Madden Women's Notice Rose Gold Ankle-High Leather Pump - 9M,18.99,USD,Online only: 75% off,9M
Genuine Grip Footwear,Shoes,White EVA,Women's Genuine Grip Footwear Slip-Resistant Injection Clogs,33.3,USD,Online only,9
SoftWalk,Shoes,Dark Brown Suede,women's softwalk ramsey lace chukka bootie,124.95,USD,Online only,9.5
Emeril Lagasse Footwear,Shoes,Black/White Canvas,Women's Canal Sneaker,44.95,USD,Online only: 31% off,9
OwnShoe,Shoes,Pewter,OwnShoe Womens Breathable Fashion Athletic Shoes Color Sneaker,28.99,USD,Online only,8
OwnShoe,Shoes,Pink,OwnShoe Waterproof Rain boots Rubber High Knee for Women Rainy Day,59.99,USD,Online only,11
Okabashi,Shoes,Black/White,"Okabashi Women's Shoes, Marina Epic-Silver/White-M",33.92,USD,Online only,S
Okabashi,Shoes,Black/White,"Okabashi Women's Shoes, Marina Epic-Silver/White-M",49.32,USD,Online only,M
Emeril Lagasse Footwear,Shoes,Black Leather,Women's Canal Sneaker,49.95,USD,Online only: 23% off,7.5
Genuine Grip Footwear,Shoes,White Leather,Genuine Grip Footwear Womens 1110 Athletic,45,USD,Online only: 26% off,8
Thalia Sodi,Shoes,Cognac,Thalia Sodi Womens Zuly Peep Toe Loafers,16.65,USD,Online only,8
Genuine Grip Footwear,Shoes,White Leather,Genuine Grip Footwear Womens 1110 Athletic,45,USD,Online only: 26% off,6
Forever Link,Shoes,White Leopard,"Symbol37 by Forever Link, Lightweight Daddy Chunky Sneaker - Women's Fashioned Paneled Flats",27.98,USD,Online only,US 8.5
Tabitha Simmons,Shoes,Other,Tabitha Simmons Ginger Flesh Patent Shoes (37),545,USD,Online only,40
